UIRoot2D/NormalPanel/HeroAttributeWin/Go_HeroAttribute/Go_ScrollList/Go_List/Go_LevelUP/Btn_LevelUp,UIRoot2D/NormalPanel/BattleWin/Go_TeamSkill/Btn_TeamSkill,UIRoot2D/NormalPanel/UGCBattleWin/Go_PlayerCard/Go_UGCBattleCard_3,UIRoot2D/NormalPanel/UGCBattleWin/Go_PlayerCard/Go_UGCBattleCard_0,UIRoot2D/NormalPanel/HeroListWin/Btn_Back,UIRoot2D/NormalPanel/GuildWar5V5BattleWin/Go_Player/Go_HeroSkill/Btn_CommonAttack,UIRoot2D/NormalPanel/UGCBattleWin/Go_PlayerCard/Go_UGCBattleCard_1,UIRoot2D/NormalPanel/EquipStrengthenWin/Go_Strengthen/Btn_strengthen,UIRoot2D/NormalPanel/HeroInfoWin/Go_ToggleList/Tog_Equip,UIRoot2D/NormalPanel/EquipStrengthenWin/Go_Strengthen/Btn_faststrengthen,UIRoot2D/NormalPanel/QuestWin/Go_Quest/Go_QuestList/Go_ScrollRect/Go_Content/Go_AchievementItem_01/Btn_Reward,UIRoot2D/NormalPanel/UGCBattleWin/Go_GlobalSkill/Btn_GlobalSkill_0,UIRoot2D/NormalPanel/UGCBattleWin/Go_PlayerCard/Go_UGCBattleCard_2,UIRoot2D/NormalPanel/BossInvadeBattleWin/Go_HeroSkill/Btn_CommonAttack,UIRoot2D/NormalPanel/DuelistBattleWin/Go_HeroSkill/Btn_CommonAttack,UIRoot2D/NormalPanel/HeroAttributeWin/Go_HeroAttribute/Go_ScrollList/Go_List/Go_AttributeTip/Go_ItemList/Go_Item_0,UIRoot2D/NormalPanel/MainWin/Go_Menu/Msk_DisplayArea/Grid/Btn_Hero,UIRoot2D/NormalPanel/RobWin/Go_Rob/Go_TreasureList/Go_Layout/Go_TreasureListItem_Win_Rob(Clone),vip
29,23,0,106,26,0,271,3,46,124,12,8,0,256,0,406,29,56,False
5,1,0,0,9,0,0,4,5,14,4,0,0,0,0,61,9,0,False
6,9,0,0,7,0,0,0,6,10,13,0,0,0,0,0,7,0,False
3,7,0,0,0,0,0,0,3,6,2,0,0,0,0,0,2,0,False
2,2,0,0,4,0,0,0,4,0,2,0,0,0,0,0,5,0,False
27,9,0,33,27,0,0,6,19,23,12,1,0,781,0,60,22,0,False
30,45,0,51,11,0,64,353,34,31,37,10,0,673,0,1,11,12,False
20,25,0,0,16,0,0,4,28,21,21,0,0,42,0,0,17,8,False
40,40,0,0,39,0,0,0,47,52,27,0,0,584,70,0,40,24,False
45,76,0,0,80,0,0,0,50,48,53,0,0,891,0,0,83,12,False
12,24,0,0,19,0,0,0,19,16,18,0,0,60,0,4,23,14,False
47,29,0,0,83,0,0,0,43,62,43,0,0,711,0,0,88,38,True
0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,False
27,16,0,0,47,0,0,1,23,24,35,0,0,25,0,0,51,48,False
22,18,0,0,14,0,0,0,25,44,13,0,0,398,0,0,14,0,False
10,61,0,0,30,0,0,0,14,23,51,0,0,446,0,0,30,14,False
10,1,0,0,6,0,0,0,20,13,6,0,0,47,0,0,8,0,False
6,13,0,84,22,0,62,0,10,26,24,12,0,638,0,0,27,40,False
8,19,0,0,11,0,0,0,9,6,17,0,0,85,112,0,13,6,False
18,17,0,33,20,0,34,1,18,25,17,2,0,148,0,76,20,0,False
22,25,0,46,51,0,10,0,27,4,4,59,0,37,7,11,61,88,False
20,22,0,84,37,0,22,0,25,19,30,22,22,1083,60,1,45,56,True
7,40,0,93,0,0,85,0,10,34,20,42,0,207,42,0,24,14,False
69,62,0,15,42,0,45,0,45,51,52,7,0,65,42,1,48,58,False
21,22,0,12,32,0,8,1,26,21,19,1,0,296,338,9,32,58,False
8,11,0,7,19,0,0,0,8,29,15,85,0,42,0,0,17,10,False
5,0,0,0,2,0,0,0,16,7,7,0,0,0,0,0,3,4,False
28,16,0,63,12,0,12,0,2,0,16,3,0,105,79,0,13,0,False
16,17,0,0,21,0,0,0,15,17,30,0,0,70,0,0,24,32,False
12,23,0,0,19,0,0,0,20,18,25,0,0,271,0,0,20,2,False
10,28,0,0,9,0,0,0,11,17,20,0,0,3,6,0,8,2,True
20,13,0,56,10,0,13,0,15,16,20,5,0,151,74,0,11,4,False
22,22,0,0,38,0,0,3,34,24,28,0,0,88,0,3,41,94,False
3,46,0,13,0,0,21,0,18,4,43,6,0,62,0,0,14,74,True
10,1,0,0,5,0,0,0,8,19,7,0,0,0,0,0,5,0,False
5,4,0,0,4,0,0,0,8,9,10,0,0,0,0,0,5,0,False
15,0,0,22,6,0,41,0,17,18,8,5,0,0,79,0,6,0,False
10,7,0,7,3,0,24,0,12,12,15,4,0,354,0,0,5,26,False
5,1,0,0,9,0,0,0,4,14,17,0,0,22,0,0,9,92,False
3,7,0,0,16,0,0,0,3,3,15,0,0,325,388,0,16,50,False
10,39,0,24,23,0,45,0,27,13,17,76,0,61,331,0,22,122,False
11,6,0,0,3,0,0,9,4,0,6,0,0,1028,0,0,3,0,False
