Player,Freq,vip,BattleRatio,stay,interval_afternoon,interval_morning,interval_night,interval_noon
105561,0.3173374613003096,False,0.07561869844179651,True,0,0,1,0
107021,,False,0.0,False,0,0,1,0
107550,0.239251040221914,False,0.0,False,0,1,0,0
108567,0.2936596218020022,False,0.0,False,0,0,1,0
108875,0.28949583303822274,True,0.00364359059291156,True,0,0,1,0
109241,0.48088194250627964,True,0.09594807928433609,True,1,0,0,0
111786,0.27669950165339297,True,0.04453430845343084,True,0,0,1,0
111907,0.24506139882541378,True,0.08483975513143681,True,0,0,1,0
114345,0.4413377192982456,True,0.008759595214494825,True,0,0,1,0
114796,0.3583815028901734,False,0.0,False,1,0,0,0
114862,0.3029801324503311,False,0.0,False,1,0,0,0
114968,0.3441108545034642,False,0.0,False,0,0,1,0
115073,0.3333333333333333,False,0.0,False,0,0,1,0
115384,0.42077867603842023,True,0.028595890410958905,True,0,0,0,1
115653,0.4294035348994838,False,0.066061227479127,False,1,0,0,0
115872,0.13101903695408734,False,0.0,False,0,0,1,0
115981,0.3333333333333333,False,0.1953125,True,0,0,1,0
116000,0.17451977401129942,False,0.12319494584837545,False,0,0,1,0
117673,0.20188151171253577,True,0.023350371747211895,True,1,0,0,0
119153,0.20515294211718405,False,0.0,True,0,0,1,0
119554,0.45977011494252873,False,0.0,False,0,0,1,0
119640,0.18653136515162694,True,0.10512680665394056,True,0,0,1,0
120622,0.22130101372312266,True,0.05690901441848013,True,0,1,0,0
121063,0.3070362473347548,False,0.0,False,0,0,1,0
121889,0.24688603599924144,True,0.043084377962709364,False,0,0,1,0
124086,0.16214359326691857,False,0.0,False,0,0,1,0
124497,0.28703703703703703,False,0.0,False,0,0,1,0
124889,0.34612141652613826,True,0.06797908335896648,True,1,0,0,0
126376,0.23647112323783537,True,0.22896373056994818,True,0,0,1,0
126455,0.11267605633802817,False,0.0,False,0,0,1,0
126707,0.24390243902439024,False,0.0,False,0,0,1,0
126780,0.13725490196078433,False,0.0,False,0,0,1,0
126905,0.15670208680066572,False,0.0908858166922683,False,0,0,1,0
127989,,False,0.0,False,0,0,1,0
128717,0.12532637075718014,False,0.0,False,0,0,1,0
129044,0.29347826086956524,False,0.0,False,0,0,1,0
129943,0.2223005153392495,False,0.08075300894969653,False,0,1,0,0
131902,0.27992011478652035,False,0.0,True,1,0,0,0
133002,0.047619047619047616,False,0.0,False,0,1,0,0
133185,0.2686993806574559,False,0.1742857142857143,False,0,0,1,0
135405,0.17986798679867988,False,0.11874656404617923,False,0,1,0,0
135428,0.40769903762029747,False,0.0,True,0,0,1,0
135808,0.15974096060442525,True,0.10970076548364649,True,0,0,1,0
138116,0.28115042485395647,False,0.0,False,0,0,1,0
138217,0.4246513720197931,True,0.025385569934408794,True,0,0,1,0
138312,0.20078370612631463,True,0.01889644746787604,True,0,0,1,0
139166,0.3456405693950178,True,0.06958017894012389,True,0,0,1,0
139629,0.29197550757331614,False,0.08066060315940642,False,0,0,1,0
139664,0.22340425531914893,False,0.0,False,0,1,0,0
140016,0.23725055432372505,False,0.2301166489925769,True,0,0,1,0
140758,0.06086956521739131,False,0.0,False,0,0,1,0
141471,0.24336283185840707,False,0.057733619763694954,False,0,0,1,0
141565,0.31769086804914826,True,0.026790530416541804,True,0,0,1,0
142706,0.35103323174579204,True,0.014166923313828149,True,1,0,0,0
142873,0.4265536723163842,False,0.0,False,0,0,1,0
143563,,False,0.0,False,0,0,1,0
143782,0.3672025723472669,True,0.02707727125767863,True,1,0,0,0
144042,0.32659251769464104,False,0.0,False,1,0,0,0
144467,0.48012764722947493,True,0.06944773643043375,False,0,0,0,1
144525,0.2162507997440819,False,0.06265984654731457,False,0,0,1,0
146898,0.3566017316017316,True,0.021121410120042546,False,0,0,1,0
147449,0.19756838905775076,False,0.0,False,0,0,1,0
147511,0.42387166489323036,False,0.11550597250394411,False,0,0,1,0
147592,0.26833157534460356,False,0.04268629254829807,False,0,0,1,0
148130,0.10648148148148148,False,0.376878612716763,False,0,0,1,0
148570,0.29504480043442843,False,0.0,True,0,0,1,0
148586,0.24899635518461782,False,0.0,False,0,0,1,0
148717,0.23325062034739455,False,0.0,False,0,0,1,0
148730,0.1968632958801498,True,0.0817732250088308,False,0,0,1,0
148743,0.1323292469352014,True,0.06008776303979256,True,0,0,1,0
149109,0.26344086021505375,False,0.0,False,0,0,1,0
149528,0.27135187896534896,True,0.13654033041788144,True,0,0,1,0
149576,0.4164705882352941,False,0.0,False,0,0,1,0
150088,0.29490793274500876,False,0.10033484812245874,True,0,0,1,0
150455,0.27857633478105454,False,0.0,False,0,0,1,0
150798,0.2995153261723867,False,0.0,False,1,0,0,0
151114,0.23752368919772585,False,0.0,False,0,1,0,0
151217,0.19180246092450948,False,0.0,False,1,0,0,0
151222,0.12889394608425891,False,0.1815519765739385,False,1,0,0,0
151940,0.25280898876404495,False,0.5624123422159888,False,0,0,1,0
152239,0.25503025916846755,True,0.014935897435897436,True,0,0,0,1
152830,0.292910447761194,False,0.0,False,0,0,1,0
